instant,year,season,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,Cluster
1,2000,1,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,1
2,2001,1,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,1
3,2002,1,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,1
4,2003,1,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,2
5,2004,1,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,2
6,2005,1,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,2
7,2006,1,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,1
8,2007,1,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,1
9,2008,1,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,2
10,2009,1,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,1
11,2010,1,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,1
12,2011,1,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,1
13,2012,1,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,1
14,2013,1,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,1
15,2014,1,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,1
16,2015,1,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,1
17,2016,1,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,1
18,2017,1,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,1
19,2018,1,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,1
20,2019,1,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,1
21,2020,1,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,1
22,2021,1,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,1
23,2022,1,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,1
24,2023,1,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,1
25,2024,1,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,1
26,2025,1,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,1
27,2026,1,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9,1
28,2027,1,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,1
29,2028,1,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,1
30,2029,1,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,1
31,2030,1,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,1
32,2031,1,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,1
33,2032,1,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,1
34,2033,1,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,1
35,2034,1,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,1
36,2035,1,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,2
37,2036,1,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,2
38,2037,1,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,1
39,2038,1,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,1
40,2039,1,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,1
41,2040,1,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,2
42,2041,1,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,2
43,2042,1,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,2
44,2043,1,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,2
45,2044,1,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,2
46,2045,1,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,2
47,2046,1,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,2
48,2047,1,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,2
49,2048,1,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,2
50,2049,1,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,2
51,2050,1,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,2
52,2051,1,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,2
53,2052,1,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,2
54,2053,1,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,2
55,2054,1,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,2
56,2055,1,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,2
57,2056,1,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,2
58,2057,1,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,2
59,2058,1,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,2
60,2059,1,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,2
61,2060,1,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,2
62,2061,1,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,2
63,2062,1,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,2
64,2063,1,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,2
65,2064,1,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,2
66,2065,1,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,2
67,2066,1,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,2
68,2067,1,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,2
69,2068,1,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,2
70,2069,1,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,2
71,2070,1,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,2
72,2071,1,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,2
73,2072,1,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,2
74,2073,1,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,2
75,2074,1,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,2
76,2075,1,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,2
77,2076,1,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,2
78,2077,1,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,2
79,2078,1,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,2
80,2079,1,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,2
81,2080,1,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,2
82,2081,1,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,2
83,2082,1,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,2
84,2083,1,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,2
85,2084,1,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,2
86,2085,1,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,2
87,2086,1,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,2
88,2087,1,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,2
89,2088,1,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,2
90,2089,1,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48,2
91,2090,1,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,2
92,2091,1,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,2
93,2092,1,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6,2
94,2093,1,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,2
